ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
9795,1,AFv1,C[C@H]1CCCC[C@@H]1NC(=O)c1c2c(nc3ccccc13)-c1ccccc1CC2,28,0.857,-7.3,6.604,6.463426945447922
9796,3,AFv1,Cc1cc(-c2nnc(SCc3cccc4ccccc34)n2C)cs1,24,0.917,-9.5,5.763999999999999,5.297027082681655
9797,3,AFv1,O=C(Nc1ccccn1)c1cc(-c2cccc(Cl)c2)nc2ccccc12,26,0.9620000000000001,-10.1,6.13,5.989270378947258
9798,5,3soa,Cc1[nH]c2ccccc2c1C(c1ccccc1F)c1c(C)[nH]c2ccccc12,28,0.893,-8.5,6.824,6.958572923183441
9799,1,AFv1,CC(=O)c1cccc(Nc2nc(-c3ccccc3)c3cc(Cl)ccc3n2)c1,27,0.889,-9.1,6.455,6.0704003739356995
9801,5,AFv1,Cc1ccsc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,27,0.963,-9.1,6.4639999999999995,6.673818124771118
9802,1,AFv1,Cc1cc(C)c(NC(=O)/C=N/OCc2cccc3ccccc23)c(Cl)c1,26,0.885,-9.1,5.824,5.485825954914093
9803,5,AFv1,CC1(C)CC(Nc2ncnc3scc(-c4ccccc4)c23)CC(C)(C)N1,26,0.8079999999999999,-7.4,6.04,5.73710049033165
9804,4,AFv1,CC1=CC(C)(C)Nc2ccc(OC(=O)Cc3cccc4ccccc34)cc21,27,0.852,-8.6,6.705,6.588736871182919
9805,5,AFv1,c1ccc2c(CSc3nnnn3-c3cccc4ccccc34)cccc2c1,27,0.9259999999999999,-8.7,6.568,6.066427271842956
9806,4,3soa,O=C(Nc1ccc(F)cc1F)Nc1c2c(nc3ccccc13)CCCC2,26,0.9229999999999999,-8.5,6.244,6.572518539667129
9807,5,3soa,CCc1ccc(/C=C2/C[C@H](C)Cc3c2nc2ccccc2c3C(=O)O)cc1,27,1.0,-8.5,6.3839999999999995,6.300726171970367
9808,4,AFv1,Cc1nn2c(Nc3cccc(Cl)c3)c3c(nc2c1-c1ccccc1)CCC3,27,0.852,-7.4,6.435,6.759056506156921
9809,1,AFv1,Cc1cccc(C(=O)Nc2c(C)nn(Cc3cccc4ccccc34)c2C)c1,28,0.9640000000000001,-9.8,6.572,6.375396835923195
9810,3,AFv1,Cc1ccc(-c2nc3ccccc3c(C(=O)NC3CCCCC3)c2C)cc1,27,0.963,-9.0,6.222,5.981367346763611
9811,1,AFv1,Cc1[nH]c2ccccc2c1C(c1ccccc1)c1c(C)[nH]c2ccccc12,27,0.889,-8.8,6.612,6.603704864427447
9812,2,AFv1,Cc1nc(-c2ccc(C(=O)NCc3cccc4ccccc34)cc2)cs1,26,1.0,-9.6,6.303999999999999,5.686836520671844
9813,2,AFv1,O=C(Nc1cccc(Cl)c1)c1ccc(-c2cccc(C(F)(F)F)c2)o1,25,0.88,-7.4,6.0120000000000005,5.726406311511994
9814,4,AFv1,Cn1c(SCc2cccc3ccccc23)nnc1-c1cccc(Cl)c1,25,0.88,-9.8,6.075,5.582845878601074
9815,1,AFv1,C[C@H]1CCCC[C@H]1NC(=O)c1c2c(nc3ccccc13)-c1ccccc1CC2,28,0.857,-9.0,6.595,6.380271853208542
9816,3,AFv1,Cc1ccc(C)c(-c2nc3ccccc3c(C(=O)N3CCCC[C@@H]3C)c2C)c1,28,0.7140000000000001,-6.3,6.186,6.200705779962242
9817,1,AFv1,O=C(Nc1cccc(Cl)c1)c1cc(-c2cccs2)nc2ccccc12,25,0.96,-9.3,5.994,6.4303749027252195
