zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
77034,O=C1C=C(Nc2cccc(Cl)c2)C[C@@H](c2ccccc2)C1,0.325,1,Permeable,4770,21,-7.0,-0.3333333333333333,5.134
1006881,C=CCn1c(Cc2cccc3ccccc23)nc2ccccc21,0.353,20,Permeable,4771,23,-6.752,-0.2935652173913043,4.953
216945522,N#Cc1ccc2ccn(Cc3cccc4ccccc34)c2c1,0.313,20,Permeable,4772,22,-6.739,-0.3063181818181818,4.943
84859757,N#Cc1cn(Cc2cccc3ccccc23)c2ccccc12,0.313,20,Permeable,4779,22,-6.877,-0.3125909090909091,5.044
122821,Clc1cccc(Nc2c3c(nc4ccccc24)CCC3)c1,0.325,1,Permeable,4791,21,-6.659,-0.3170952380952381,4.884
949076,Cc1cc(C)c2nc(C)cc(Nc3cccc(Cl)c3)c2c1,0.308,1,Permeable,4792,21,-6.927,-0.32985714285714285,5.081
112324,Cc1cc(Nc2cccc(Cl)c2)c2cccc(C)c2n1,0.373,1,Permeable,4793,20,-6.808,-0.3404,4.994
6256444,Cc1ccc2nc(C)cc(Nc3cccc(Cl)c3)c2c1,0.348,1,Permeable,4798,20,-6.694,-0.3347,4.91
111874339,CC(C)(C)c1ccc([C@@H](O)c2cccc3ccccc23)cc1,0.312,20,Permeable,4804,22,-6.658,-0.30263636363636365,4.884
95916152,CC(C)(C)c1ccc(C(=O)c2cccc3ccccc23)cc1,0.312,20,Permeable,4810,22,-6.727,-0.3057727272727273,4.934
1691944,Cc1[nH]c2ccccc2c1/C=C/c1c[nH]c2ccccc12,0.32799999999999996,23,Permeable,4817,21,-6.734,-0.32066666666666666,4.939
216698426,Clc1cccc(-c2cc(-c3cc4ccccc4o3)on2)c1,0.306,1,Permeable,4818,21,-6.927,-0.32985714285714285,5.081
59878961,c1ccc2c(Cc3cccc4ccccc34)cccc2c1,0.34600000000000003,20,Permeable,4820,21,-7.172,-0.3415238095238095,5.261
278014,c1ccc2c(CNc3nc4ccccc4s3)cccc2c1,0.318,20,Permeable,4821,21,-6.751,-0.32147619047619047,4.952
1691946,Cc1c(C(C)c2[nH]c3ccccc3c2C)[nH]c2ccccc12,0.375,23,Permeable,4822,22,-6.921,-0.3145909090909091,5.076
20136168,Cc1ccc(Nc2c3c(nc4ccccc24)CCCC3)cc1,0.309,9,Permeable,4825,22,-6.693,-0.30422727272727274,4.909
223629012,c1ccc(-n2c3ccccc3c3c4ccccc4[nH]c32)cc1,0.309,23,Permeable,4828,22,-6.988,-0.31763636363636366,5.126
3628124,Cc1ccc2[nH]c3c(ccc4c5ccccc5[nH]c43)c2c1,0.32799999999999996,23,Permeable,4829,21,-6.681,-0.31814285714285717,4.9
1710766,c1ccc2c(c1)ncc1cc3c(cc12)[nH]c1ccccc13,0.304,23,Permeable,4840,21,-6.778,-0.32276190476190475,4.972
18206013,Oc1c(/N=N/c2ccccc2)c2ccccc2c2ccccc12,0.305,22,Permeable,4843,23,-7.109,-0.3090869565217391,5.214
97506099,O=C(NCCN1CCOCC1)c1cc(=O)[nH]c2cc(F)ccc12,0.311,0,Permeable,4857,23,-6.68,-0.29043478260869565,4.9
409414039,Cc1cc(NC(=O)C[C@@H]2NC(=O)c3ccccc3NC2=O)n[nH]1,0.315,24,Permeable,4858,23,-6.776,-0.2946086956521739,4.97
253410100,Cc1cc(NC(=O)C[C@H]2NC(=O)c3ccccc3NC2=O)n[nH]1,0.315,24,Permeable,4861,23,-6.856,-0.2980869565217391,5.029
97172852,O=C(C[C@H]1CCc2ccccc21)NCC(=O)N1CCNCC1,0.304,13,Permeable,4864,22,-6.941,-0.3155,5.091
93667,Cn1c(=O)c2c(ncn2Cc2cccc3ccccc23)n(C)c1=O,0.366,20,Permeable,4911,24,-6.988,-0.2911666666666667,5.126
1383817,Cc1cccc(-n2cnc(C(=O)Nc3ccccc3C(N)=O)c2)n1,0.315,21,Permeable,4921,24,-6.895,-0.28729166666666667,5.057
266365,Cn1c(=O)[nH]c(=O)c2c1ncn2Cc1cccc2ccccc12,0.36200000000000004,20,Permeable,4927,23,-7.163,-0.31143478260869567,5.254
237783720,Cc1nn(-c2ccc(F)cc2F)c(C)c1C(=O)N1CCNCC1,0.312,13,Permeable,4930,23,-7.09,-0.30826086956521737,5.2
527163,Cn1c(=O)[nH]c(=O)c2c1nc(N)n2Cc1cccc2ccccc12,0.35600000000000004,20,Permeable,4931,24,-7.115,-0.2964583333333333,5.219
5171124,O=C(Cc1n[nH]c(=O)c2ccccc12)N=c1[nH]c2ccccc2[nH]1,0.336,23,Permeable,4932,24,-7.42,-0.30916666666666665,5.442
675008293,O=C(Cc1cccc2ccccc12)NCCn1cccnc1=O,0.309,20,Permeable,4935,23,-6.835,-0.29717391304347823,5.013
148173,NC(=O)c1ccccc1NC1=NS(=O)(=O)c2ccccc21,0.322,21,Permeable,4939,21,-6.874,-0.3273333333333333,5.042
338255167,CCC(=O)Nc1ccc(C)c(NC(=O)N[C@@H]2CCCNC2=O)c1,0.31,13,Permeable,4942,23,-6.774,-0.2945217391304348,4.969
2711265,Cn1c(NC(=O)Cc2cccc3ccccc23)cc(=O)n(C)c1=O,0.331,20,Permeable,4952,24,-7.412,-0.30883333333333335,5.437
82121093,CC(=O)NCCNC(=O)c1ccc2nc(-c3ccccc3)cn2c1,0.311,12,Permeable,4955,24,-6.973,-0.29054166666666664,5.115
237758659,Cc1c(C(=O)N2CCNCC2)nnn1-c1ccc(F)c(Cl)c1,0.318,13,Permeable,4961,22,-6.755,-0.30704545454545457,4.955
136873052,COc1c/c(=C2\C=c3ccccc3=N2)[nH]/c1=C\c1[nH]c(C)cc1C,0.33899999999999997,24,Permeable,4972,24,-6.904,-0.2876666666666667,5.064
3572669,NC(=O)NC(=O)COC(=O)c1c2c(nc3ccccc13)CCC2,0.311,9,Permeable,4983,23,-6.739,-0.293,4.943
3508232,C[C@@H](OC(=O)Cc1cccc2ccccc12)C(=O)NC(N)=O,0.302,20,Permeable,4985,22,-6.735,-0.30613636363636365,4.94
96466335,CC(=O)c1cn(Cc2cccc3ccccc23)c(=O)n(C)c1=O,0.344,20,Permeable,4988,23,-6.878,-0.2990434782608696,5.045
3508230,C[C@H](OC(=O)Cc1cccc2ccccc12)C(=O)NC(N)=O,0.302,20,Permeable,4989,22,-6.676,-0.3034545454545455,4.897
80941717,O=C(Cn1cncn1)N1CC(OCc2cccc3ccccc23)C1,0.302,20,Permeable,4996,24,-6.74,-0.2808333333333333,4.944
585295178,CC(C)[C@H]1[C@H](O)[C@H](O)[C@@H](CO)N1Cc1cccc2ccccc12,0.305,20,Permeable,4997,23,-6.74,-0.29304347826086957,4.944
16718758,Cc1cc(C)nc(NN/C=C2/C(=O)NC(=O)c3ccccc32)n1,0.301,24,Permeable,5005,23,-7.057,-0.30682608695652175,5.176
71800807,O=C(Cn1ccc(=O)[nH]c1=O)NCc1cccc2ccccc12,0.304,20,Permeable,5006,23,-6.948,-0.30208695652173917,5.096
96482674,O[C@H](CNc1ccnc2c(F)ccc(F)c12)CN1CCOCC1,0.303,0,Permeable,5007,23,-6.661,-0.2896086956521739,4.886
80941644,O=C(Cn1cnnn1)N1CC(OCc2cccc3ccccc23)C1,0.302,20,Permeable,5010,24,-6.892,-0.2871666666666667,5.055
8581205,Cn1c(=O)c2[nH]c(Cc3cccc4ccccc34)nc2n(C)c1=O,0.38799999999999996,20,Permeable,5011,24,-7.329,-0.305375,5.376
32016227,NC(=O)COc1ccc(C(=O)/C=C2/C(=O)Nc3ccccc32)cc1,0.342,24,Permeable,5018,24,-6.701,-0.27920833333333334,4.915
13130177,Cc1ccc(S(=O)(=O)N/N=C2/C(=O)Nc3ccccc32)cc1,0.303,24,Permeable,5019,22,-6.799,-0.30904545454545457,4.987
82099570,NC[C@H]1CCN(C(=O)c2ccc3nc(-c4ccccc4)cn3c2)C1,0.308,12,Permeable,5026,24,-6.78,-0.28250000000000003,4.973
618255959,O=C(Cc1cccc2ccccc12)N1CC(Nc2cccnn2)C1,0.302,20,Permeable,5027,24,-7.409,-0.3087083333333333,5.434
1772804694,CCN1CCn2c(Cc3cccc4ccccc34)nnc2C1=O,0.369,20,Permeable,5034,23,-6.841,-0.29743478260869566,5.018
618255715,O=C(Cc1cccc2ccccc12)N1CC(Nc2ccncn2)C1,0.321,20,Permeable,5036,24,-7.374,-0.30724999999999997,5.409
12315098,O=C1C[C@@H](NCc2c[nH]cn2)CN1Cc1cccc2ccccc12,0.307,20,Permeable,5038,24,-6.824,-0.2843333333333333,5.005
170621750,O=C1c2ccccc2C(=O)N1Cc1cc(=O)[nH]c2ccccc12,0.302,23,Permeable,5043,23,-7.24,-0.31478260869565217,5.31
96116622,O=C(NCc1nc2ccccc2[nH]1)c1cc(=O)[nH]c2ccccc12,0.317,23,Permeable,5045,24,-7.179,-0.29912500000000003,5.266
13531629,CCn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,0.369,20,Permeable,5047,23,-6.901,-0.3000434782608696,5.062
82099572,NC[C@@H]1CCN(C(=O)c2ccc3nc(-c4ccccc4)cn3c2)C1,0.308,12,Permeable,5054,24,-6.825,-0.284375,5.006
9482888,Cn1c(=O)[nH]c(=O)c2c(-c3cccc4ccccc34)ccnc21,0.301,20,Permeable,5055,23,-6.903,-0.3001304347826087,5.063
1775968129,O=C(NCc1cccc2ccccc12)N1CC(n2nccn2)C1,0.301,20,Permeable,5057,23,-7.003,-0.3044782608695652,5.137
15080332,O=C1C[C@H](NCc2ncc[nH]2)CN1Cc1cccc2ccccc12,0.307,20,Permeable,5058,24,-6.93,-0.28875,5.083
65407400,O=C(c1cccc(NCc2ccc(F)cc2)c1)N1CCNCC1,0.322,13,Permeable,5060,23,-7.02,-0.30521739130434783,5.149
