zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id
1745892,NCc1cccc2ccccc12,0.388,20,Permeable,249
144362319,C=C1OC(=O)Nc2ccccc21,0.317,24,Permeable,250
5196961,CC(=O)NCc1cccc2ccccc12,0.35200000000000004,20,Permeable,251
5499071,CC1=COC(=O)c2ccccc2N1,0.349,24,Permeable,252
17020307,O=C1Nc2ccccc2/C1=C\Cl,0.486,24,Permeable,253
4566787,O=C1Nc2ccccc2/C1=C/Cl,0.486,24,Permeable,254
1442783,N=C(N)Cc1cccc2ccccc12,0.365,20,Permeable,255
44029926,CC(=O)c1cccn1-c1ccccn1,0.316,10,Permeable,256
13523954,O=c1[nH]c2ncccc2c2ccccc12,0.305,22,Permeable,257
29060552,Cc1ccc(C)n1-c1ccccn1,0.303,10,Permeable,258
4962076,Cc1cc(Cl)cc(CN(C)C)c1O,0.307,5,Permeable,259
74637,N#Cc1c(-c2ccccc2)c[nH]c1N,0.316,15,Permeable,260
334309,c1cc(-c2ccsc2)ccn1,0.306,19,Permeable,261
34407481,CNCCc1cccc2ccccc12,0.358,20,Permeable,262
13607083,c1cncc(-c2ccsc2)c1,0.306,19,Permeable,263
2528948,Nc1cccc(-c2ccc(O)cc2)c1,0.309,1,Permeable,264
2036677,C[C@@H](N)c1cccc2ccccc12,0.302,20,Permeable,265
3715872,Nc1cc(-c2cccc(Cl)c2)no1,0.309,1,Permeable,266
12370364,NCc1cccc(-c2ccsc2)c1,0.341,19,Permeable,267
1746590,Nc1cccc(-c2ccccc2)c1,0.316,1,Permeable,268
3852495,Clc1ncncc1-c1ccccc1,0.32299999999999995,15,Permeable,269
65339914,Nc1cccc(-c2ccccc2O)c1,0.306,1,Permeable,270
4245591,Nc1ccc(-c2ccsc2)cc1,0.314,19,Permeable,271
1662344,CN(C)Cc1cccc2ccccc12,0.379,20,Permeable,272
402103,Nc1ccc(-c2cccc(N)c2)cc1,0.309,1,Permeable,273
1671536,CNCc1cccc2ccccc12,0.373,20,Permeable,274
1701854,C[C@H](N)c1cccc2ccccc12,0.302,20,Permeable,275
35321575,NCCCc1cccc2ccccc12,0.358,20,Permeable,276
2023648,Clc1nccc(-c2ccccc2)n1,0.302,1,Permeable,277
363246,CCC(=O)Nc1ccc(C)c(Cl)c1,0.325,13,Permeable,278
29865992,C[C@H](CN)Cc1cccc2ccccc12,0.364,20,Permeable,279
2528954,Nc1cccc(-c2cccc(O)c2)c1,0.333,1,Permeable,280
4292977,Oc1cccc2ccccc12,0.305,22,Permeable,281
