zinc_id,new_smile,tanimoto_sim,cluster
13523954,O=c1[nH]c2ncccc2c2ccccc12,0.305,22
29060552,Cc1ccc(C)n1-c1ccccn1,0.303,10
1641638,Cc1cc(C)c(O)c(CN(C)C)c1,0.307,5
4962076,Cc1cc(Cl)cc(CN(C)C)c1O,0.307,5
74637,N#Cc1c(-c2ccccc2)c[nH]c1N,0.316,15
334309,c1cc(-c2ccsc2)ccn1,0.306,19
34407481,CNCCc1cccc2ccccc12,0.358,20
13607083,c1cncc(-c2ccsc2)c1,0.306,19
2528948,Nc1cccc(-c2ccc(O)cc2)c1,0.309,1
2036677,C[C@@H](N)c1cccc2ccccc12,0.302,20
3715872,Nc1cc(-c2cccc(Cl)c2)no1,0.309,1
12370364,NCc1cccc(-c2ccsc2)c1,0.341,19
1746590,Nc1cccc(-c2ccccc2)c1,0.316,1
3852495,Clc1ncncc1-c1ccccc1,0.32299999999999995,15
18120050,Cc1cc(O)c2ccccc2c1O,0.318,22
65339914,Nc1cccc(-c2ccccc2O)c1,0.306,1
4245591,Nc1ccc(-c2ccsc2)cc1,0.314,19
1662344,CN(C)Cc1cccc2ccccc12,0.379,20
402103,Nc1ccc(-c2cccc(N)c2)cc1,0.309,1
1671536,CNCc1cccc2ccccc12,0.373,20
1701854,C[C@H](N)c1cccc2ccccc12,0.302,20
35321575,NCCCc1cccc2ccccc12,0.358,20
2023648,Clc1nccc(-c2ccccc2)n1,0.302,1
363246,CCC(=O)Nc1ccc(C)c(Cl)c1,0.325,13
25336320,Oc1ccc(F)c2ccccc12,0.313,22
29865992,C[C@H](CN)Cc1cccc2ccccc12,0.364,20
2528954,Nc1cccc(-c2cccc(O)c2)c1,0.33299999999999996,1
4292977,Oc1cccc2ccccc12,0.305,22
19014866,Nc1c2c(nc3ccccc13)CCCC2,0.364,9
409518,CCC(=O)Nc1cccc(Cl)c1,0.301,13
12370373,NCc1ccc(-c2ccsc2)cc1,0.318,19
29865990,C[C@@H](CN)Cc1cccc2ccccc12,0.364,20
1846710,Nc1cccc(-c2cccc(N)c2)c1,0.33299999999999996,1
199317046,Nc1cc(Cl)c(O)c2ccccc12,0.318,22
4277414,OCc1cccc(-c2ccsc2)c1,0.37200000000000005,19
38392040,Oc1ccc(S)c2ccccc12,0.313,22
2574103,COc1cccc(-c2cccc(N)c2)c1,0.32,1
40448521,Cc1n[nH]c2ccc(Cl)cc12,0.337,11
12370372,OCc1ccc(-c2ccsc2)cc1,0.349,19
158916,Cc1nc(-c2cccc(N)c2)cs1,0.32299999999999995,1
40828641,Oc1ccc(-c2ccccc2)c(O)c1,0.302,15
1648196,CN(C)c1cccc2ccccc12,0.302,20
34349386,OCCCc1cccc2ccccc12,0.34600000000000003,20
4245590,Nc1cccc(-c2ccsc2)c1,0.341,19
2574104,COc1ccc(-c2cccc(N)c2)cc1,0.3,1
331216,Clc1cc(-c2ccccc2)ncn1,0.309,15
5831419,Cc1ccc(O)c2ccccc12,0.313,22
362025,CCC(=O)Nc1ccc(C)c(C)c1,0.325,13
8227312,CCNCc1cccc2ccccc12,0.358,20
225738319,Cc1c2c(nc3ccccc13)CCC2=O,0.304,9
1560404612,C[C](N)c1cccc2ccccc12,0.302,20
25491157,Cc1ccnc(Nc2ccccc2)n1,0.303,1
1257867,Nc1cccc(-c2ccc(C=O)cc2)c1,0.3,1
5162801,Nc1cccc2[nH]c3ccccc3c12,0.316,23
39642859,Cc1cc(-c2cccc(N)c2)ccn1,0.33299999999999996,1
32187904,C[C@H](O)Cc1cccc2ccccc12,0.365,20
100253384,Oc1cc(Cl)c(O)c2ccccc12,0.318,22
32187902,C[C@@H](O)Cc1cccc2ccccc12,0.365,20
5162822,Nc1cccc2c1[nH]c1ccccc12,0.304,23
8580818,O=c1[nH]c2ccccc2c2ccccc12,0.35100000000000003,23
8628578,O=c1c2ccccc2[nH]c2ccccc12,0.413,23
31460423,Nc1nc2ccccc2c2ccccc12,0.319,22
57476744,O=[N+]([O-])c1ccc(-c2ccccc2)o1,0.33,12
