lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL1995813,CHEMBL4121,"CaM kinase II beta",Q13554,6.5,Ki,809235,8,NC1CCCCC1Nc1nccc(-c2c[nH]c3ncccc23)n1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL244378,CHEMBL4121,"CaM kinase II beta",Q13554,5.3,Ki,809235,8,O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL362558,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1986943,CHEMBL4121,"CaM kinase II beta",Q13554,7,Ki,809235,8,OC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2006263,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2001646,CHEMBL4121,"CaM kinase II beta",Q13554,5.8,Ki,809235,8,Cc1ccccc1-c1cccc2c1c(Nc1ccccc1)c(C(=O)O)n2CCCOc1cccc2ccccc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1986263,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,CCn1c(C)c(-c2ccnc(Nc3cccc(OC)c3)n2)sc1=O,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2000114,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,CSc1c[nH]c2ncnc(NCCCO)c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1968380,CHEMBL4121,"CaM kinase II beta",Q13554,5.7,Ki,809235,8,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1981782,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,O=C(NCc1ccc(Cl)c(Cl)c1)Nc1ccc2[nH]ncc2c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1977681,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,CNC(=O)c1cc2c(-c3ccccc3F)n[nH]c2s1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL223360,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1988163,CHEMBL4121,"CaM kinase II beta",Q13554,5.7,Ki,809235,8,NS(=O)(=O)c1cccc(Nc2ncc3ccn(-c4ccccc4)c3n2)c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1975128,CHEMBL4121,"CaM kinase II beta",Q13554,6.1,Ki,809235,8,Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3I)cc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1974870,CHEMBL4121,"CaM kinase II beta",Q13554,7,Ki,809235,8,Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(Cl)c4)c3)cc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1992306,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccn1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2002165,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,CC(O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1998585,CHEMBL4121,"CaM kinase II beta",Q13554,5.5,Ki,809235,8,Nc1ncnc2scc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL519697,CHEMBL4121,"CaM kinase II beta",Q13554,5.1,Ki,809235,8,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2C,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1981947,CHEMBL4121,"CaM kinase II beta",Q13554,5.3,Ki,809235,8,CC(C)Oc1ccc(-c2noc(-c3ccc(NC4CCC(C(=O)O)C4)cc3)n2)cc1C(F)(F)F,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL491473,CHEMBL4121,"CaM kinase II beta",Q13554,5.3,Ki,809235,8,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1966425,CHEMBL4121,"CaM kinase II beta",Q13554,5.9,Ki,809235,8,CN(C)CCCOc1cc2c(c(-c3ccc(Nc4nc5ccccc5o4)cc3)c1)CNC2=O,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1998159,CHEMBL4121,"CaM kinase II beta",Q13554,7,Ki,809235,8,Cc1n[nH]c2cnc(-c3cncc(OCC(N)Cc4cccc(C(F)(F)F)c4)c3)cc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1987679,CHEMBL4121,"CaM kinase II beta",Q13554,5.3,Ki,809235,8,NC(COc1cncc(-c2ccc3[nH]c(=O)oc3c2)c1)Cc1c[nH]c2ccccc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1974803,CHEMBL4121,"CaM kinase II beta",Q13554,5.8,Ki,809235,8,O=c1[nH]c2cc(Cl)cc(Cl)c2c(-c2cc(Cl)ccc2O)c1O,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1970074,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,Cc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1958401,CHEMBL4121,"CaM kinase II beta",Q13554,5.3,Ki,809235,8,O=c1cc(-c2ccncc2)nc(NC2CCCCC2)[nH]1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2002992,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1990635,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,CC1CCCN1CCc1cc2cc(-c3ccc(OC(F)(F)F)cc3)ccc2[nH]1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
